"Zone","Latitude","Longitude"

"Afghanistan",33,65
"Afrique du sud",-29,24
"Albanie",41,20
"Algerie",28,3
"Allemagne",51,9
"Angola",-12.5,18.5
"Antigua",17.05,-61.8
"Arabie Saoudite",25,45
"Argentine",-34,-64
"Armenie",40,45
"Autriche",47.33,13.33
"Azerbaijan",40.5,47.5
"Bengladesh",24,90
"Barbade",13.17,-59.53
"Belgique",50.83,4
"Belize",17.25,-88.75
"Bolivie",-17,-65
"Bosnie Herzegovine",44,18
"Botswana",-22,24
"Brunei",4.5,114.67
"Bresil",-10,-55
"Bulgarie",43,25
"Burkina",13,-2
"Belarus",53,28
"Benin",9.5,2.25
"Cambodge",13,105
"Cameroune",6,12
"Canada",60,-95
"Chile",-30,-71
"China",35,105
"Colombie",4,-72
"Costa Rica",10,-84
"Croatie",45.17,15.5
"Cuba",21.5,-80
"Cote d'Ivoire",8,-5
"Danemark",56,10
"El Salvador",13.83,-88.92
"Espagne",40,-4
"Estonia",59,26
"Eswatini",0,0
"Fidji",0,0
"Finland",64,26
"France",46,2
"Federation Russie",60,100
"Gambie",13.47,-16.57
"Ghana",8,-2
"Grenades",13.25,-61.2
"Grece",39,22
"Guatemala",15.5,-90.25
"Guinea",11,-10
"Guyana",5,-59
"Georgia",42,43.5
"Honduras",15,-86.5
"Hongrie",47,20
"India",20,77
"Indonesia",-5,120
"Iran",32,53
"Iraq",33,44
"Ireland",53,-8
"Israel",31.5,34.75
"Italie",42.83,12.83
"Jamaique",18.25,-77.5
"Japon",36,138
"Jordanie",31,36
"Kazakhstan",48,68
"Kenya",1,38
"Kyrgyzstan",41,75
"Koweit",29.34,47.66
"Lesotho",-29.5,28.5
"Lituanie",0,0
"Liban",33.83,35.83
"Lituanie",56,24
"Luxembourg",49.75,6.17
"Macedoine",41.83,22
"Madagascar",-20,47
"Malaysia",2.5,112.5
"Malawi",-13.5,34
"Mali",17,-4
"Malte",35.83,14.58
"Maroc",32,-5
"Maurice",-20.28,57.55
"Mexico",23,-102
"Montenegro",42,19
"Mozambique",-18.25,35
"Namibie",-22,17
"Nicaragua",13,-85
"Niger",16,8
"Nigeria",10,8
"Norvege",62,10
"Nouvelle Caledonie",-21.5,165.5
"Nouvelle Zelande",-41,174
"Nepal",28,84
"Ouganda",1,32
"ouzbekistan",41,64
"Pakistan",30,70
"Panama",9,-80
"Paraguay",-23,-58
"Pays-bas",-23,-58
"Philippines",13,122
"Pologne",52,20
"Portugal",39.5,-8
"Peru",-10,-76
"Roumanie",46,25
"Rwanda",-2,30
"République de Corée",40,127
"République de Moldova",47,29
"République dominicaine",19,-70.67
"République-Unie de Tanzanie",-6,35
"Serbie",44,21
"Sierra Leone",8.5,-11.5
"Slovaquie",48.67,19.5
"Slovénie",46,15
"Sri Lanka",7,81
"Suisse",47,8
"Suriname",47,8
"Suède",62,15
"Sénégal",14,-14
"Thaïlande",15,100
"Trinité-et-Tobago",15,100
"Tunisie",34,9
"Turquie",39,35
"Ukraine",49,32
"Uruguay",-33,-56
"Venezuela (République bolivarienne du)",8,-66
"Yémen",15,48
"Zambie",-15,30
"Zimbabwe",-20,30
"Égypte",27,30
"Émirats arabes unis",24,54
"Équateur",-2,-77.5
"États-Unis d'Amérique",38,-97
"Éthiopie",8,38
​


















































