,cluster,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
118,3,Autriche,3770.0,106.20000000000002,59.19020715630884,4.458111601923119
119,3,Slovénie,3168.0,96.02000000000001,53.957508852322434,0.28091712680061043
120,3,Australie,3278.0,106.25999999999999,67.46659137963488,6.246053924002071
121,3,Grèce,3394.0,108.64999999999996,54.514496088357134,-5.756888785911297
122,3,Fédération de Russie,3360.0,102.81000000000003,54.64448983561908,1.9899524090590284
123,3,Suède,3180.0,107.47999999999999,65.88202456270935,4.017775214062123
124,3,Argentine,3226.0,102.60000000000001,65.23391812865499,6.571403130892685
125,3,Allemagne,3503.0,101.39000000000001,60.64700660814676,0.4781001895255375
126,3,France,3482.0,110.5,62.75113122171946,1.076327896544774
127,3,Finlande,3366.0,117.56000000000004,62.12146988771687,1.7487491344618886
128,3,Estonie,3248.0,103.65000000000002,51.355523396044376,2.715205756961872
129,3,Espagne,3173.0,104.75999999999999,62.180221458571985,-0.5014514211145525
130,3,Albanie,3188.0,111.37,53.344706833078924,-10.068892789498879
131,3,États-Unis d'Amérique,3682.0,109.42000000000002,63.76348016815937,2.153881212920606
132,3,Suisse,3393.0,92.88999999999999,64.33415868231242,5.25019262549042
133,3,Chine - RAS de Hong-Kong,3286.0,129.07000000000002,73.13860695746493,2.2753139358061136
134,3,Danemark,3366.0,108.74000000000004,64.19900680522345,2.3143790661052974
135,3,Kazakhstan,3262.0,96.34999999999997,59.23196678775301,10.254678891230155
136,3,Nouvelle-Zélande,3136.0,92.39,59.31377854746185,4.999461326284262
137,3,Canada,3499.0,105.06000000000003,52.06548638873023,5.10474540467936
138,3,Bélarus,3249.0,93.77999999999999,58.59458306675198,1.011539978822796
139,3,Brésil,3262.0,95.00999999999998,55.35206820334704,4.347807530747593
140,3,Luxembourg,3540.0,113.64,63.4635691657867,12.287234482701553
141,3,Malte,3374.0,110.31,55.96954038618439,2.3330783520926675
142,3,Italie,3578.0,108.48999999999997,53.6731495990414,-0.5982602785270416
143,3,Pays-Bas,3222.0,111.46000000000001,67.97057240265566,1.7618273859349245
144,3,Norvège,3483.0,110.73000000000002,59.577350311568665,5.525741846794713
145,3,Israël,3610.0,127.99999999999999,56.609375000000014,7.737454656174372
146,3,Islande,3381.0,133.06,72.50864271757102,1.993686017468883
147,3,Portugal,3472.0,110.87,60.69270316586994,-3.4301909100189514
148,3,Irlande,3602.0,109.91,58.9755254298972,3.9780521262002746
149,3,Roumanie,3359.0,103.00000000000001,45.83495145631068,-11.242044417458034
150,3,Monténégro,3490.0,111.90000000000003,56.39857015192135,1.0845655286878653
151,3,Belgique,3737.0,99.37000000000003,58.508604206500934,3.293608581925833
152,3,République de Corée,3333.0,96.11999999999998,47.99209321681233,3.7300026698347715
153,3,Lituanie,3414.0,124.35999999999999,61.506915406883245,-7.701380519651129
154,3,Pologne,3450.0,101.46000000000002,52.51330573625073,-0.7789968311456966
